run_id,backbone,backbones,backbone_combination,backbone_count,feature_source,fusion_method,seed,feature_dim,fusion_input_dim,fusion_output_dim,projection_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,experiment_group,short_name,display_name
20260529_173652_finetuned_effb0_none_mlp_s42,efficientnet_b0,"[""efficientnet_b0""]",efficientnet_b0,1,finetuned,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_baseline,,0.5599831007389472,11,0.7490013315579228,0.5855216947409411,0.6231349476054939,0.5957337752121764,0.7598566316951374,single,effb0,effb0
20260529_173640_finetuned_mnv2_none_mlp_s42,mobilenet_v2,"[""mobilenet_v2""]",mobilenet_v2,1,finetuned,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_baseline,,0.6290972723511323,8,0.7343541944074568,0.5335891093772684,0.6451872053184271,0.5749695585555911,0.7503753841626157,single,mnv2,mnv2
20260529_173629_finetuned_r50_none_mlp_s42,resnet50,"[""resnet50""]",resnet50,1,finetuned,none,42,2048,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_baseline,,0.6458333941339982,6,0.7756324900133156,0.6424653431141152,0.6854701497063195,0.6577546004544469,0.7850908394351291,single,r50,r50
20260529_173748_finetuned_mnv2-effb0_concat_mlp_s42,,"[""mobilenet_v2"", ""efficientnet_b0""]",mobilenet_v2+efficientnet_b0,2,finetuned,concat,42,2560,2560.0,2560.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_fusion_matrix,,0.6168746509915232,2,0.7163781624500666,0.5524779905557028,0.7037824092890157,0.601564531147144,0.7373879584152812,pairwise,mnv2+effb0 concat,mnv2+effb0 concat
20260529_173756_finetuned_mnv2-effb0_weighted_mlp_s42,,"[""mobilenet_v2"", ""efficientnet_b0""]",mobilenet_v2+efficientnet_b0,2,finetuned,weighted,42,512,2560.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_fusion_matrix,,0.6044370886067433,2,0.7057256990679095,0.5574387702675639,0.6748340141444288,0.5940426542458282,0.7290613682718625,pairwise,mnv2+effb0 weighted,mnv2+effb0 weighted
20260529_173730_finetuned_r50-effb0_concat_mlp_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_fusion_matrix,,0.6371610461645419,5,0.7922769640479361,0.6795530421722684,0.6882722303386375,0.6787325242339214,0.7981244275676345,pairwise,r50+effb0 concat,r50+effb0 concat
20260529_173742_finetuned_r50-effb0_weighted_mlp_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_fusion_matrix,,0.6414642269855543,6,0.7942743009320905,0.6960903273787171,0.7094210691124762,0.6976650579184576,0.8024896420508434,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260529_173707_finetuned_r50-mnv2_concat_mlp_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_fusion_matrix,,0.6473257154109608,3,0.7862849533954727,0.6777492876192129,0.7119728725711738,0.6852993171057028,0.7951656832114966,pairwise,r50+mnv2 concat,r50+mnv2 concat
20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_fusion_matrix,,0.6664562329200016,7,0.7676431424766977,0.6553279439111429,0.657146158853046,0.6511762007118466,0.7749477939945739,pairwise,r50+mnv2 weighted,r50+mnv2 weighted
20260529_173806_finetuned_r50-mnv2-effb0_concat_mlp_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,concat,42,4608,4608.0,4608.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_fusion_matrix,,0.6552454467854106,4,0.810918774966711,0.7241185568929719,0.7024527574366987,0.7059113258715694,0.8128550545674091,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat
20260529_173817_finetuned_r50-mnv2-effb0_weighted_mlp_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,512,4608.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_fusion_matrix,,0.6461912447438763,4,0.800266311584554,0.7016323464526979,0.6838277638868357,0.6867827900397871,0.8015411793906424,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
