run_id,backbone,backbones,backbone_combination,backbone_count,feature_source,fusion_method,seed,feature_dim,fusion_input_dim,fusion_output_dim,projection_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,search_stage,candidate_name,candidate_profile,runtime_seconds,planned_index,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,experiment_group,short_name,display_name
20260603_004025_finetuned_targeted_effb0_none_mlp_s42,efficientnet_b0,"[""efficientnet_b0""]",efficientnet_b0,1,finetuned_targeted,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_single_backbone,,,,,,,0.5106421084470195,3,0.7117177097203728,0.48114886039190086,0.6386325153450102,0.5342174156746335,0.7326484641538937,single,effb0,effb0
20260603_004017_finetuned_targeted_mnv2_none_mlp_s42,mobilenet_v2,"[""mobilenet_v2""]",mobilenet_v2,1,finetuned_targeted,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_single_backbone,,,,,,,0.5719832101588247,6,0.725699067909454,0.5611135634483774,0.6323086510721662,0.5845836137026694,0.7443727174392643,single,mnv2,mnv2
20260603_004008_finetuned_targeted_r50_none_mlp_s42,resnet50,"[""resnet50""]",resnet50,1,finetuned_targeted,none,42,2048,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_single_backbone,,,,,,,0.6345432029807317,3,0.7656458055925432,0.599870332270046,0.652653993823834,0.6132380391629796,0.7759089796793119,single,r50,r50
20260603_004131_finetuned_targeted_mnv2-effb0_concat_mlp_s42,,"[""mobilenet_v2"", ""efficientnet_b0""]",mobilenet_v2+efficientnet_b0,2,finetuned_targeted,concat,42,2560,2560.0,2560.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_feature_matrix,,,,,,,0.5823264567209743,3,0.7683089214380826,0.5644838536771168,0.7062171369452901,0.6153197531071589,0.7798264617394092,pairwise,mnv2+effb0 concat,mnv2+effb0 concat
20260603_004141_finetuned_targeted_mnv2-effb0_weighted_mlp_s42,,"[""mobilenet_v2"", ""efficientnet_b0""]",mobilenet_v2+efficientnet_b0,2,finetuned_targeted,weighted,42,512,2560.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_feature_matrix,,,,,,,0.5597277082933351,5,0.7356857523302264,0.5697514355724957,0.650651768680808,0.5939250717547747,0.752333278137434,pairwise,mnv2+effb0 weighted,mnv2+effb0 weighted
20260603_004111_finetuned_targeted_r50-effb0_concat_mlp_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned_targeted,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_feature_matrix,,,,,,,0.6454018913296931,7,0.7609853528628495,0.6044746371569817,0.6760382682290397,0.6307179228302562,0.7745621345200997,pairwise,r50+effb0 concat,r50+effb0 concat
20260603_004124_finetuned_targeted_r50-effb0_weighted_mlp_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned_targeted,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_feature_matrix,,,,,,,0.6506869615168791,7,0.7649800266311585,0.5741303655057821,0.6655099431547538,0.6107974801622101,0.7764914038088605,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260603_004042_finetuned_targeted_r50-mnv2_concat_mlp_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned_targeted,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_feature_matrix,,,,,,,0.656879084792527,7,0.7609853528628495,0.6111690506003328,0.6864645943369639,0.6382143700173589,0.7727583355470016,pairwise,r50+mnv2 concat,r50+mnv2 concat
20260603_004059_finetuned_targeted_r50-mnv2_weighted_mlp_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned_targeted,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_feature_matrix,,,,,,,0.6602080520575029,11,0.7782956058588548,0.660513520312756,0.6434299945464651,0.6427349333598532,0.7826745284856003,pairwise,r50+mnv2 weighted,r50+mnv2 weighted
20260603_004153_finetuned_targeted_r50-mnv2-effb0_concat_mlp_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned_targeted,concat,42,4608,4608.0,4608.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_feature_matrix,,,,,,,0.6641443681584203,7,0.7676431424766977,0.593344802531988,0.7141989243173633,0.6428888998472037,0.7787923689499464,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat
20260603_004207_finetuned_targeted_r50-mnv2-effb0_weighted_mlp_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned_targeted,weighted,42,512,4608.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_feature_matrix,,,,,,,0.6511381887454032,6,0.7709720372836218,0.649849497468029,0.6535313982486581,0.6417333280944678,0.7798838804568238,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
