backbone_combination,fusion_method,display_name,backbone_count,frozen_run_id,finetuned_run_id,frozen_accuracy,finetuned_accuracy,accuracy_gain,frozen_macro_f1,finetuned_macro_f1,macro_f1_gain,frozen_weighted_f1,finetuned_weighted_f1,weighted_f1_gain
resnet50+mobilenet_v2+efficientnet_b0,concat,r50+mnv2+effb0 concat,3,20260527_161706_frozen_r50-mnv2-effb0_concat_mlp_s42,20260529_173806_finetuned_r50-mnv2-effb0_concat_mlp_s42,0.7509986684420772,0.810918774966711,0.059920106524633865,0.5762701842398641,0.7059113258715694,0.12964114163170526,0.7608657709141142,0.8128550545674091,0.051989283653294915
resnet50+efficientnet_b0,weighted,r50+effb0 weighted,2,20260527_161529_frozen_r50-effb0_weighted_mlp_s42,20260529_173742_finetuned_r50-effb0_weighted_mlp_s42,0.6850865512649801,0.7942743009320905,0.10918774966711042,0.53205811434532,0.6976650579184576,0.16560694357313754,0.7110344320750607,0.8024896420508434,0.09145520997578271
resnet50+mobilenet_v2+efficientnet_b0,weighted,r50+mnv2+effb0 weighted,3,20260527_161732_frozen_r50-mnv2-effb0_weighted_mlp_s42,20260529_173817_finetuned_r50-mnv2-effb0_weighted_mlp_s42,0.7316910785619174,0.800266311584554,0.06857523302263657,0.5192220029020013,0.6867827900397871,0.16756078713778588,0.7476518854036696,0.8015411793906424,0.05388929398697284
resnet50+mobilenet_v2,concat,r50+mnv2 concat,2,20260527_161410_frozen_r50-mnv2_concat_mlp_s42,20260529_173707_finetuned_r50-mnv2_concat_mlp_s42,0.7430093209054593,0.7862849533954727,0.043275632490013316,0.5434549160409289,0.6852993171057028,0.14184440106477392,0.7510475822675491,0.7951656832114966,0.044118100943947525
resnet50+efficientnet_b0,concat,r50+effb0 concat,2,20260527_161503_frozen_r50-effb0_concat_mlp_s42,20260529_173730_finetuned_r50-effb0_concat_mlp_s42,0.7463382157123835,0.7922769640479361,0.04593874833555267,0.595200020681105,0.6787325242339214,0.08353250355281638,0.7603048363812186,0.7981244275676345,0.03781959118641587
resnet50,none,r50,1,20260526_174825_frozen_r50_none_mlp_s42,20260529_173629_finetuned_r50_none_mlp_s42,0.7123834886817576,0.7756324900133156,0.06324900133155797,0.5310806526417284,0.6577546004544469,0.12667394781271846,0.7303668817556075,0.7850908394351291,0.05472395767952165
resnet50+mobilenet_v2,weighted,r50+mnv2 weighted,2,20260527_161438_frozen_r50-mnv2_weighted_mlp_s42,20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,0.7103861517976032,0.7676431424766977,0.05725699067909451,0.5198201002575218,0.6511762007118466,0.13135610045432478,0.7258947315282556,0.7749477939945739,0.04905306246631835
mobilenet_v2+efficientnet_b0,concat,mnv2+effb0 concat,2,20260527_161601_frozen_mnv2-effb0_concat_mlp_s42,20260529_173748_finetuned_mnv2-effb0_concat_mlp_s42,0.7316910785619174,0.7163781624500666,-0.015312916111850816,0.5305046319943283,0.601564531147144,0.07105989915281574,0.7439511590489544,0.7373879584152812,-0.006563200633673216
efficientnet_b0,none,effb0,1,20260526_174919_frozen_effb0_none_mlp_s42,20260529_173652_finetuned_effb0_none_mlp_s42,0.6970705725699068,0.7490013315579228,0.051930758988016024,0.5064534766172956,0.5957337752121764,0.08928029859488085,0.7197134166514568,0.7598566316951374,0.04014321504368057
mobilenet_v2+efficientnet_b0,weighted,mnv2+effb0 weighted,2,20260527_161627_frozen_mnv2-effb0_weighted_mlp_s42,20260529_173756_finetuned_mnv2-effb0_weighted_mlp_s42,0.7190412782956058,0.7057256990679095,-0.013315579227696328,0.561559064227099,0.5940426542458282,0.03248359001872925,0.7375611686248148,0.7290613682718625,-0.00849980035295228
mobilenet_v2,none,mnv2,1,20260526_174855_frozen_mnv2_none_mlp_s42,20260529_173640_finetuned_mnv2_none_mlp_s42,0.6677762982689747,0.7343541944074568,0.06657789613848208,0.46752625210354765,0.5749695585555911,0.10744330645204342,0.6918025427372162,0.7503753841626157,0.058572841425399536
