backbone,label,precision,recall,f1,support
resnet50,akiec,0.5245901639344263,0.6153846153846154,0.5663716814159292,52
resnet50,bcc,0.611764705882353,0.7323943661971831,0.6666666666666666,71
resnet50,bkl,0.5833333333333334,0.5868263473053892,0.5850746268656717,167
resnet50,df,0.5185185185185185,0.7,0.5957446808510638,20
resnet50,nv,0.9262472885032538,0.850597609561753,0.8868120456905504,1004
resnet50,mel,0.4504504504504504,0.5988023952095808,0.5141388174807198,167
resnet50,vasc,0.8823529411764706,0.7142857142857143,0.7894736842105263,21
mobilenet_v2,akiec,0.4269662921348314,0.7307692307692307,0.5390070921985816,52
mobilenet_v2,bcc,0.5102040816326531,0.704225352112676,0.591715976331361,71
mobilenet_v2,bkl,0.5612903225806452,0.5209580838323353,0.5403726708074534,167
mobilenet_v2,df,0.3333333333333333,0.55,0.4150943396226415,20
mobilenet_v2,nv,0.931350114416476,0.8107569721115537,0.8668796592119276,1004
mobilenet_v2,mel,0.388646288209607,0.5329341317365269,0.4494949494949495,167
mobilenet_v2,vasc,0.5833333333333334,0.6666666666666666,0.6222222222222222,21
efficientnet_b0,akiec,0.4268292682926829,0.6730769230769231,0.5223880597014925,52
efficientnet_b0,bcc,0.4752475247524752,0.676056338028169,0.5581395348837209,71
efficientnet_b0,bkl,0.536144578313253,0.5329341317365269,0.5345345345345346,167
efficientnet_b0,df,0.4210526315789473,0.4,0.4102564102564102,20
efficientnet_b0,nv,0.9192139737991266,0.8386454183266933,0.8770833333333333,1004
efficientnet_b0,mel,0.4378109452736318,0.5269461077844312,0.4782608695652174,167
efficientnet_b0,vasc,0.8823529411764706,0.7142857142857143,0.7894736842105263,21
resnet50,akiec,0.5245901639344263,0.6153846153846154,0.5663716814159292,52
resnet50,bcc,0.611764705882353,0.7323943661971831,0.6666666666666666,71
resnet50,bkl,0.5833333333333334,0.5868263473053892,0.5850746268656717,167
resnet50,df,0.5185185185185185,0.7,0.5957446808510638,20
resnet50,nv,0.9262472885032538,0.850597609561753,0.8868120456905504,1004
resnet50,mel,0.4504504504504504,0.5988023952095808,0.5141388174807198,167
resnet50,vasc,0.8823529411764706,0.7142857142857143,0.7894736842105263,21
mobilenet_v2,akiec,0.4269662921348314,0.7307692307692307,0.5390070921985816,52
mobilenet_v2,bcc,0.5102040816326531,0.704225352112676,0.591715976331361,71
mobilenet_v2,bkl,0.5612903225806452,0.5209580838323353,0.5403726708074534,167
mobilenet_v2,df,0.3333333333333333,0.55,0.4150943396226415,20
mobilenet_v2,nv,0.931350114416476,0.8107569721115537,0.8668796592119276,1004
mobilenet_v2,mel,0.388646288209607,0.5329341317365269,0.4494949494949495,167
mobilenet_v2,vasc,0.5833333333333334,0.6666666666666666,0.6222222222222222,21
efficientnet_b0,akiec,0.4268292682926829,0.6730769230769231,0.5223880597014925,52
efficientnet_b0,bcc,0.4752475247524752,0.676056338028169,0.5581395348837209,71
efficientnet_b0,bkl,0.536144578313253,0.5329341317365269,0.5345345345345346,167
efficientnet_b0,df,0.4210526315789473,0.4,0.4102564102564102,20
efficientnet_b0,nv,0.9192139737991266,0.8386454183266933,0.8770833333333333,1004
efficientnet_b0,mel,0.4378109452736318,0.5269461077844312,0.4782608695652174,167
efficientnet_b0,vasc,0.8823529411764706,0.7142857142857143,0.7894736842105263,21
