backbone,label,precision,recall,f1,support
resnet50,akiec,0.3805309734513274,0.8269230769230769,0.5212121212121212,52
resnet50,bcc,0.6301369863013698,0.647887323943662,0.6388888888888888,71
resnet50,bkl,0.5875,0.562874251497006,0.5749235474006116,167
resnet50,df,0.6111111111111112,0.55,0.5789473684210527,20
resnet50,nv,0.9107692307692308,0.8844621513944223,0.8974229408792319,1004
resnet50,mel,0.5571428571428572,0.467065868263473,0.50814332247557,167
resnet50,vasc,0.782608695652174,0.8571428571428571,0.8181818181818182,21
mobilenet_v2,akiec,0.5344827586206896,0.5961538461538461,0.5636363636363636,52
mobilenet_v2,bcc,0.5806451612903226,0.7605633802816901,0.6585365853658537,71
mobilenet_v2,bkl,0.5280898876404494,0.562874251497006,0.5449275362318841,167
mobilenet_v2,df,0.3928571428571428,0.55,0.4583333333333333,20
mobilenet_v2,nv,0.9197802197802196,0.8336653386454184,0.8746081504702194,1004
mobilenet_v2,mel,0.4251207729468599,0.5269461077844312,0.4705882352941176,167
mobilenet_v2,vasc,0.5,0.6666666666666666,0.5714285714285714,21
efficientnet_b0,akiec,0.5,0.7692307692307693,0.6060606060606061,52
efficientnet_b0,bcc,0.5764705882352941,0.6901408450704225,0.6282051282051282,71
efficientnet_b0,bkl,0.4533898305084746,0.6407185628742516,0.5310173697270472,167
efficientnet_b0,df,0.3548387096774194,0.55,0.4313725490196078,20
efficientnet_b0,nv,0.9471153846153846,0.7848605577689243,0.8583877995642701,1004
efficientnet_b0,mel,0.4252336448598131,0.5449101796407185,0.4776902887139108,167
efficientnet_b0,vasc,0.75,0.8571428571428571,0.8,21
