run_id,backbone,backbones,backbone_combination,backbone_count,feature_source,fusion_method,seed,feature_dim,fusion_input_dim,fusion_output_dim,projection_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,search_stage,candidate_name,candidate_profile,runtime_seconds,planned_index,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,experiment_group,short_name,display_name
20260531_212608_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,512,4608.0,512.0,512.0,True,adamw,0.0003,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_low_lr_p512,screen,w_cw_adamw_low_lr_p512,w_cw_adamw_low_lr,67.88491820800118,68,0.6802763048359945,14,0.8015978695073236,0.6790364583943885,0.7244911289227884,0.6989555485753057,0.8078492311362607,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
20260531_212313_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,1024,4608.0,1024.0,1024.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_base_p1024,screen,w_cw_adamw_base_p1024,w_cw_adamw_base,55.23175733303651,63,0.6630593321482429,6,0.7829560585885486,0.6605083427247128,0.7029424071528118,0.6764531287427787,0.7932866255245921,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
20260531_212218_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p512_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,512,4608.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_base_p512,screen,w_cw_adamw_base_p512,w_cw_adamw_base,27.69049841701053,62,0.6630121912514627,4,0.7936085219707057,0.7147365641835043,0.6868037622587371,0.6945255381992854,0.7985662903336749,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
20260531_211723_finetuned_r50-effb0_weighted_mlp_w_nocw_adamw_base_p512_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,512,3328.0,512.0,512.0,False,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_nocw_adamw_base_p512,screen,w_nocw_adamw_base_p512,w_nocw_adamw_base,36.330725790932775,53,0.6612300682170884,9,0.7949400798934754,0.71503741462526,0.6257093412362623,0.6625058797954245,0.7871983522586486,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_212438_finetuned_r50-mnv2-effb0_weighted_mlp_w_nocw_adamw_base_p1024_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,1024,4608.0,1024.0,1024.0,False,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_nocw_adamw_base_p1024,screen,w_nocw_adamw_base_p1024,w_nocw_adamw_base,43.03749637515284,66,0.6603003588542855,3,0.796271637816245,0.702695660847132,0.6693306804814316,0.6750014594439772,0.7895840048235038,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
20260531_211138_finetuned_r50-mnv2-effb0_concat_mlp_nocw_adamw_base_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,concat,42,4608,4608.0,4608.0,,False,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,nocw_adamw_base,screen,nocw_adamw_base,nocw_adamw_base,17.49149258295074,42,0.6600120683298158,2,0.8122503328894807,0.7124391205757666,0.6749652636894522,0.6879632412708778,0.8067332854188961,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat
20260531_210911_finetuned_r50-effb0_concat_mlp_cw_adamw_small_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,[256],sprint4c_finetuned_mlpfusion_screen,cw_adamw_small,screen,cw_adamw_small,cw_adamw_small,11.957786832936108,37,0.6592631378080261,3,0.7876165113182424,0.6539802283263345,0.710760672057088,0.674744494206861,0.7943991930023041,pairwise,r50+effb0 concat,r50+effb0 concat
20260531_211810_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_low_lr_p256_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,256,3328.0,256.0,256.0,True,adamw,0.0003,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_low_lr_p256,screen,w_cw_adamw_low_lr_p256,w_cw_adamw_low_lr,20.811270125210285,55,0.6588745614443001,6,0.7929427430093209,0.6840307350035221,0.7302513019390661,0.7026853529392744,0.8004400537456284,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_211226_finetuned_r50-mnv2-effb0_concat_mlp_cw_adamw_high_lr_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,concat,42,4608,4608.0,4608.0,,True,adamw,0.003,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_high_lr,screen,cw_adamw_high_lr,cw_adamw_high_lr,20.186976541997865,44,0.6571223171502492,3,0.7676431424766977,0.6577989878917975,0.6940007063955492,0.6660257083563464,0.7782342274028806,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat
20260531_210806_finetuned_r50-effb0_concat_mlp_nocw_adamw_base_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,concat,42,3328,3328.0,3328.0,,False,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,nocw_adamw_base,screen,nocw_adamw_base,nocw_adamw_base,29.695634416071698,34,0.6571050954493113,11,0.8122503328894807,0.7398774652884071,0.6606948219463878,0.6896547439342096,0.8043243600692602,pairwise,r50+effb0 concat,r50+effb0 concat
20260531_212355_finetuned_r50-mnv2-effb0_weighted_mlp_w_nocw_adamw_base_p512_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,512,4608.0,512.0,512.0,False,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_nocw_adamw_base_p512,screen,w_nocw_adamw_base_p512,w_nocw_adamw_base,23.200771583942696,65,0.6567634802875159,2,0.8062583222370173,0.7142429458436507,0.6517280273600191,0.6742576284132275,0.8008867641918936,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
20260531_212647_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p1024_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,1024,4608.0,1024.0,1024.0,True,adamw,0.0003,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_low_lr_p1024,screen,w_cw_adamw_low_lr_p1024,w_cw_adamw_low_lr,38.83199912495911,69,0.6557073419067606,3,0.7822902796271638,0.6455230013202217,0.7202237294769225,0.6747917634888563,0.7920362541586555,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
20260531_211338_finetuned_r50-mnv2-effb0_concat_mlp_cw_adamw_regularized_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,concat,42,4608,4608.0,4608.0,,True,adamw,0.001,0.001,0.5,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_regularized,screen,cw_adamw_regularized,cw_adamw_regularized,20.573678540997207,47,0.6554799021109214,3,0.7862849533954727,0.6474363085075685,0.7569351536380685,0.6936705070382144,0.7961285002100639,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat
20260531_212707_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_regularized_p256_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,256,4608.0,256.0,256.0,True,adamw,0.001,0.001,0.5,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_regularized_p256,screen,w_cw_adamw_regularized_p256,w_cw_adamw_regularized,19.49229858396575,70,0.6547004598000664,3,0.7909454061251664,0.6356905305543554,0.7397602541934118,0.6748323128122273,0.798160853528646,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
20260531_211749_finetuned_r50-effb0_weighted_mlp_w_nocw_adamw_base_p1024_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,1024,3328.0,1024.0,1024.0,False,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_nocw_adamw_base_p1024,screen,w_nocw_adamw_base_p1024,w_nocw_adamw_base,26.08607504097745,54,0.654013254045702,2,0.8035952063914781,0.7176324273154027,0.6386107640711941,0.6707412381697198,0.7955055339173089,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_205839_finetuned_r50_none_mlp_nocw_adamw_base_s42,resnet50,"[""resnet50""]",resnet50,1,finetuned,none,42,2048,,,,False,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,nocw_adamw_base,screen,nocw_adamw_base,nocw_adamw_base,11.99210708308965,2,0.6530738191808517,2,0.8069241011984021,0.7344123658483921,0.6520575232039162,0.684338266070566,0.7981066118944053,single,r50,r50
