run_id,display_name,backbone_combination,fusion_method,backbone,weight,weight_sum
20260531_212608_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.3360907733440399,1.0000000298023224
20260531_212608_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.3198482990264892,1.0000000298023224
20260531_212608_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.3440609574317932,1.0000000298023224
20260531_212313_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.3671520054340362,1.0000000298023222
20260531_212313_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.2985613048076629,1.0000000298023222
20260531_212313_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.3342867195606231,1.0000000298023222
20260531_212218_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.3817675411701202,0.9999999701976776
20260531_212218_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.2928224205970764,0.9999999701976776
20260531_212218_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.3254100084304809,0.9999999701976776
20260531_211723_finetuned_r50-effb0_weighted_mlp_w_nocw_adamw_base_p512_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.4827577173709869,0.9999999701976776
20260531_211723_finetuned_r50-effb0_weighted_mlp_w_nocw_adamw_base_p512_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.5172422528266907,0.9999999701976776
20260531_212438_finetuned_r50-mnv2-effb0_weighted_mlp_w_nocw_adamw_base_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.3662863671779632,1.0000000298023224
20260531_212438_finetuned_r50-mnv2-effb0_weighted_mlp_w_nocw_adamw_base_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.3100104033946991,1.0000000298023224
20260531_212438_finetuned_r50-mnv2-effb0_weighted_mlp_w_nocw_adamw_base_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.32370325922966,1.0000000298023224
20260531_211810_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_low_lr_p256_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.5032946467399597,1.0000000298023224
20260531_211810_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_low_lr_p256_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.4967053830623626,1.0000000298023224
20260531_212355_finetuned_r50-mnv2-effb0_weighted_mlp_w_nocw_adamw_base_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.3722646236419678,1.0
