run_id,display_name,backbone_combination,fusion_method,backbone,weight,weight_sum
20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.3360907733440399,1.0000000298023224
20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.3198482990264892,1.0000000298023224
20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.3440609574317932,1.0000000298023224
20260531_213555_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.3671520054340362,1.0000000298023222
20260531_213555_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.2985613048076629,1.0000000298023222
20260531_213555_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.3342867195606231,1.0000000298023222
20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,resnet50,0.5051531791687012,1.0
20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,mobilenet_v2,0.4948468208312988,1.0
20260531_213424_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.492101639509201,1.0000000298023224
20260531_213424_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.5078983902931213,1.0000000298023224
20260531_213341_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,resnet50,0.554034411907196,1.0
20260531_213341_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,mobilenet_v2,0.4459655880928039,1.0
20260531_213353_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.5122140645980835,0.9999999701976776
20260531_213353_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.4877859055995941,0.9999999701976776
20260531_213445_finetuned_mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,mnv2+effb0 weighted,mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.4892411231994629,0.9999999403953552
20260531_213445_finetuned_mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,mnv2+effb0 weighted,mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.5107588171958923,0.9999999403953552
20260531_213458_finetuned_mnv2-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,mnv2+effb0 weighted,mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.5103673934936523,1.0
20260531_213458_finetuned_mnv2-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,mnv2+effb0 weighted,mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.4896326065063476,1.0
